Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD1,Pune,DEF Academy,1st,Data Science,Whatsapp
LD2,Pune,PQR College,2nd,Electric Vehicle,College Collaboration
LD3,Surat,GHI University,2nd,AI,Whatsapp
LD4,Mumbai,PQR College,2nd,AI,College Collaboration
LD5,Kolkata,GHI University,4th,Data Science,Whatsapp
LD6,Pune,ABC Institute,2nd,Robotics,Instagram
LD7,Kolkata,ABC Institute,1st,Electric Vehicle,College Collaboration
LD8,Ahmedabad,XYZ University,1st,Robotics,LinkedIn
LD9,Pune,XYZ University,4th,Data Science,Mass-Mailing
LD10,Pune,ABC Institute,4th,Data Science,Google Form
LD11,Chennai,XYZ University,2nd,Electric Vehicle,Whatsapp
LD12,Surat,XYZ University,4th,Web Development,Whatsapp
LD13,Delhi,GHI University,2nd,Data Science,Google Form
LD14,Delhi,XYZ University,3rd,Data Science,College Collaboration
LD15,Kolkata,GHI University,1st,Robotics,LinkedIn
LD16,Delhi,ABC Institute,1st,AI,LinkedIn
LD17,Kolkata,GHI University,3rd,AI,College Collaboration
LD18,Delhi,ABC Institute,4th,Web Development,College Collaboration
LD19,Chennai,ABC Institute,4th,Robotics,Google Form
LD20,Surat,ABC Institute,3rd,AI,Mass-Mailing
LD21,Ahmedabad,ABC Institute,3rd,Data Science,LinkedIn
LD22,Pune,DEF Academy,1st,Electric Vehicle,Mass-Mailing
LD23,Delhi,ABC Institute,3rd,AI,Mass-Mailing
LD24,Kolkata,ABC Institute,2nd,AI,College Collaboration
LD25,Surat,PQR College,1st,Data Science,Mass-Mailing
LD26,Mumbai,DEF Academy,3rd,AI,Google Form
LD27,Kolkata,XYZ University,2nd,AI,Instagram
LD28,Chennai,DEF Academy,4th,Robotics,LinkedIn
LD29,Mumbai,DEF Academy,4th,AI,Mass-Mailing
LD30,Ahmedabad,GHI University,2nd,Data Science,Instagram
LD31,Mumbai,GHI University,1st,Electric Vehicle,College Collaboration
LD32,Chennai,XYZ University,1st,Electric Vehicle,Mass-Mailing
LD33,Pune,XYZ University,1st,Robotics,Whatsapp
LD34,Delhi,PQR College,3rd,Robotics,Instagram
LD35,Ahmedabad,XYZ University,2nd,Web Development,Whatsapp
LD36,Mumbai,DEF Academy,1st,Robotics,Whatsapp
LD37,Pune,GHI University,2nd,AI,College Collaboration
LD38,Ahmedabad,PQR College,4th,Web Development,Google Form
LD39,Surat,GHI University,2nd,Data Science,Google Form
LD40,Pune,ABC Institute,1st,Electric Vehicle,Mass-Mailing
LD41,Delhi,XYZ University,4th,Web Development,Mass-Mailing
LD42,Surat,PQR College,4th,AI,Google Form
LD43,Mumbai,PQR College,2nd,Robotics,Mass-Mailing
LD44,Ahmedabad,DEF Academy,4th,AI,Mass-Mailing
LD45,Kolkata,DEF Academy,2nd,Web Development,LinkedIn
LD46,Surat,GHI University,4th,Web Development,College Collaboration
LD47,Ahmedabad,XYZ University,1st,Electric Vehicle,LinkedIn
LD48,Surat,XYZ University,4th,Robotics,Mass-Mailing
LD49,Kolkata,XYZ University,4th,Robotics,Mass-Mailing
LD50,Mumbai,GHI University,2nd,AI,Instagram
LD51,Delhi,GHI University,2nd,Robotics,Whatsapp
LD52,Chennai,PQR College,2nd,Electric Vehicle,Google Form
LD53,Mumbai,ABC Institute,3rd,AI,Google Form
LD54,Pune,ABC Institute,1st,Data Science,Instagram
LD55,Surat,XYZ University,2nd,Robotics,Google Form
LD56,Chennai,GHI University,1st,Electric Vehicle,Instagram
LD57,Mumbai,XYZ University,4th,Electric Vehicle,Whatsapp
LD58,Delhi,PQR College,3rd,Data Science,LinkedIn
LD59,Pune,XYZ University,4th,Data Science,Whatsapp
LD60,Ahmedabad,XYZ University,2nd,AI,Mass-Mailing
LD61,Surat,GHI University,4th,AI,Mass-Mailing
LD62,Mumbai,DEF Academy,3rd,Electric Vehicle,Whatsapp
LD63,Delhi,DEF Academy,1st,Data Science,LinkedIn
LD64,Kolkata,DEF Academy,4th,Robotics,Mass-Mailing
LD65,Chennai,DEF Academy,4th,Data Science,Whatsapp
LD66,Kolkata,ABC Institute,1st,Electric Vehicle,Mass-Mailing
LD67,Ahmedabad,DEF Academy,3rd,Data Science,Whatsapp
LD68,Pune,XYZ University,4th,Electric Vehicle,LinkedIn
LD69,Ahmedabad,ABC Institute,4th,Robotics,Google Form
LD70,Delhi,XYZ University,1st,Data Science,Mass-Mailing
LD71,Kolkata,ABC Institute,4th,Robotics,Instagram
LD72,Delhi,DEF Academy,3rd,AI,LinkedIn
LD73,Ahmedabad,ABC Institute,4th,Electric Vehicle,Mass-Mailing
LD74,Surat,DEF Academy,4th,AI,LinkedIn
LD75,Mumbai,GHI University,2nd,AI,Mass-Mailing
LD76,Ahmedabad,ABC Institute,1st,Electric Vehicle,College Collaboration
LD77,Mumbai,DEF Academy,4th,Robotics,Instagram
LD78,Delhi,XYZ University,2nd,Data Science,College Collaboration
LD79,Kolkata,PQR College,4th,Web Development,College Collaboration
